,Date,Control.mean,Control_2.mean,plot1.mean,plot2.mean,plot3.mean,plot4.mean,plot1.15.mean,plot2.15.mean,plot3.15.mean,plot4.15.mean,AirTC.mean,RH.mean,Control.std.error,Control_2.std.error,plot1.std.error,plot2.std.error,plot3.std.error,plot4.std.error,plot1.15.std.error,plot2.15.std.error,plot3.15.std.error,plot4.15.std.error,AirTC.std.error,RH.std.error,1dcon,2dcon,3dcon,4dcon,1dcon.std.error,2dcon.std.error,3dcon.std.error,4dcon.std.error
75,7/26/2022,0.319852632,0.319936842,0.316652632,0.312438597,0.299287719,0.412315789,0.305361403,0.357133333,0.252726316,0.397245614,22.44336842,70.83,0.000450201,0.000444655,0.000314389,0.000402161,0.00022896,0.000360221,0.000493347,0.000379433,0.000219775,0.000910957,0.646351369,2.091050026,-0.014575439,0.037196491,-0.067210526,0.077308772,0.000493347,0.000379433,0.000219775,0.000910957
76,7/27/2022,0.318083333,0.317166667,0.313809028,0.315628472,0.300086806,0.412395833,0.304243056,0.353434028,0.253277778,0.399322917,22.62333333,73.8740625,0.000274128,0.000279672,0.000204645,0.000116903,0.000193161,0.000222805,0.000255566,0.00017467,0.000183085,0.000240332,0.633610402,2.022469567,-0.012923611,0.036267361,-0.063888889,0.08215625,0.000255566,0.00017467,0.000183085,0.000240332
77,7/28/2022,0.328854167,0.329135417,0.335371528,0.356958333,0.300954861,0.435947917,0.32340625,0.393375,0.254277778,0.423135417,20.47791667,77.9021875,0.000932359,0.001037205,0.001509553,0.00279709,0.000109893,0.001655491,0.001412103,0.002854971,0.000317177,0.001728887,0.274341153,1.003811991,-0.005729167,0.064239583,-0.074857639,0.094,0.001412103,0.002854971,0.000317177,0.001728887
78,7/29/2022,0.32671875,0.326739583,0.335260417,0.36453125,0.299045139,0.439065972,0.323253472,0.40121875,0.252489583,0.42378125,21.19854167,75.34104167,0.000211875,0.000217262,0.000271143,0.00032671,0.000147065,0.000247237,0.000228604,0.000247789,0.000157415,0.000233669,0.580852878,2.057687978,-0.003486111,0.074479167,-0.07425,0.097041667,0.000228604,0.000247789,0.000157415,0.000233669
79,7/30/2022,0.317635417,0.317635417,0.324611111,0.353854167,0.298326389,0.429086806,0.313305556,0.389326389,0.251881944,0.410954861,22.76552083,60.7775,0.000332165,0.00032751,0.000359556,0.000338261,0.000218201,0.000356034,0.000268863,0.000307951,0.000220368,0.000498233,0.89915906,2.99588288,-0.004329861,0.071690972,-0.065753472,0.093319444,0.000268863,0.000307951,0.000220368,0.000498233
80,7/31/2022,0.31390625,0.30921875,0.316465278,0.34834375,0.299326389,0.420951389,0.304934028,0.378118055,0.252159722,0.391295139,22.5628125,62.98520833,0.00029022,0.000278311,0.00027129,0.000155507,0.000163715,0.000338375,0.000234127,0.000328361,0.000161543,0.000455791,0.743482761,2.338569068,-0.004284722,0.068899305,-0.057059028,0.082076389,0.000234127,0.000328361,0.000161543,0.000455791
81,8/1/2022,0.309291667,0.302447917,0.311579861,0.343739583,0.299552083,0.412302083,0.298236111,0.367211806,0.251604167,0.377079861,23.44208333,59.829375,0.000320333,0.000241918,0.000192782,0.000246031,0.000183959,0.000343843,0.000197691,0.000281328,0.000187857,0.000393098,0.799378732,2.580883416,-0.004211806,0.064763889,-0.05084375,0.074631944,0.000197691,0.000281328,0.000187857,0.000393098
82,8/2/2022,0.308416667,0.300104167,0.312274306,0.3385625,0.30103125,0.40434375,0.294732639,0.358177083,0.252548611,0.364322917,25.48135417,56.494375,0.000264354,0.000315005,0.000205314,0.000233902,0.00020377,0.000342151,0.000208647,0.000223113,0.000203764,0.000367093,0.708377,2.256159876,-0.005371528,0.058072917,-0.047555556,0.06421875,0.000208647,0.000223113,0.000203764,0.000367093
83,8/3/2022,0.307875,0.29828125,0.313472222,0.334975694,0.302708333,0.399090278,0.292295139,0.352017361,0.253361111,0.354475694,23.20229167,68.11416667,0.000237055,0.00022297,0.000141237,0.000146203,0.000179902,0.000220561,0.000164745,0.000166474,0.000164878,0.000236051,0.610485112,2.352667517,-0.005986111,0.053736111,-0.044920139,0.056194444,0.000164745,0.000166474,0.000164878,0.000236051
84,8/4/2022,0.309447917,0.29528125,0.311524306,0.329975694,0.30296875,0.392260417,0.288423611,0.344659722,0.25303125,0.34421875,24.6240625,61.21927083,0.000238264,0.000396449,0.000262167,0.000213074,0.000238736,0.000331398,0.00030467,0.000203286,0.000243086,0.000209475,0.899324803,2.843776011,-0.006857639,0.049378472,-0.04225,0.0489375,0.00030467,0.000203286,0.000243086,0.000209475
